#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz    dx2    tot
# NKPTS & NBANDS: 300  64
# Band-Index    1
   1.32655    -12.110256  0.048  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.33650    -12.132327  0.048  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.34645    -12.153873  0.048  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.35640    -12.174868  0.050  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.36636    -12.195289  0.048  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.37631    -12.215120  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.38626    -12.234346  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.39621    -12.252957  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.40616    -12.270944  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.41612    -12.288297  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.42607    -12.305008  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.43602    -12.321072  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.44597    -12.336482  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.45592    -12.351233  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.46587    -12.365321  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.47583    -12.378742  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.48578    -12.391492  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.49573    -12.403568  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.50568    -12.414970  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.51563    -12.425701  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.52559    -12.435750  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.53554    -12.445114  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.54549    -12.453791  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.55544    -12.461780  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.56539    -12.469078  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.57534    -12.475685  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.58530    -12.481599  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.59525    -12.486819  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.60520    -12.491344  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.61515    -12.495173  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.62510    -12.498305  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.63506    -12.500740  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.64501    -12.502478  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.65496    -12.503518  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.66491    -12.503861  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.66491    -12.503861  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.67710    -12.503345  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.68929    -12.501783  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.70148    -12.499175  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.71367    -12.495522  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
